Receive ID,Message,Action
16,Test 2,error
15,Test,error
18,I want to send money to Peter,transaction
25,Send money to Peter,transaction
30,Send money to Amy,transaction
34,Test,error
37,Get an Apple,error
41,Send 200 to Amy,transaction
44,Send 200 to Leo,transaction
47,Send 200 to Isaac,transaction
50,I want to give 500 money to Isaac,transaction
56,I want to give 200 to Isaac,transaction
62,I want to give 200 to Peter,transaction
65,Send 150 to Peter,transaction
69,Send money to Osaac,transaction.
72,Send money to Isaac,transaction
77,Send 110 to Isaac,transaction
81,Send 50 to Isaac,transaction
85,Send 10 dollar to Peter,transaction
90,Send 110 dollar to Peter,transaction
98,Send 100 to Isaac,transaction
106,Send 100 to Isaac,transaction
113,Send 50 to chan,transaction.
118,Send 100 to Peter,transaction
128,Sene 200 to Isaac,transaction
132,Please give 50 to kkk,transaction
135,Please send 50 to kkk,transaction
