Receive ID,Time,Message
8,2025-04-03 11:11:12,Hi
12,2025-04-03 11:12:09,Test
8,2025-04-03 11:11:12,Hi
12,2025-04-03 11:12:09,Test
15,2025-04-03 11:14:16,Test
16,2025-04-03 11:14:36,Test 2
18,2025-04-08 12:23:21,I want to send money to Peter
18,2025-04-08 12:23:21,I want to send money to Peter
25,2025-04-08 18:18:27,Send money to Peter
30,2025-04-08 18:20:20,Send money to Amy
34,2025-04-08 18:21:27,Test
37,2025-04-08 18:21:41,Get an Apple
41,2025-04-08 18:30:20,Send 200 to Amy
44,2025-04-08 18:31:38,Send 200 to Leo
47,2025-04-08 18:32:06,Send 200 to Isaac
50,2025-04-08 18:39:57,I want to give 500 money to Isaac
53,2025-04-08 18:41:09,I want to give 200 to Isaac
56,2025-04-08 18:41:33,I want to give 200 to Isaac
18,2025-04-08 12:23:21,I want to send money to Peter
25,2025-04-08 18:18:27,Send money to Peter
30,2025-04-08 18:20:20,Send money to Amy
34,2025-04-08 18:21:27,Test
37,2025-04-08 18:21:41,Get an Apple
41,2025-04-08 18:30:20,Send 200 to Amy
44,2025-04-08 18:31:38,Send 200 to Leo
47,2025-04-08 18:32:06,Send 200 to Isaac
50,2025-04-08 18:39:57,I want to give 500 money to Isaac
53,2025-04-08 18:41:09,I want to give 200 to Isaac
56,2025-04-08 18:41:33,I want to give 200 to Isaac
62,2025-04-08 18:45:39,I want to give 200 to Peter
65,2025-04-08 18:46:32,Send 150 to Peter
69,2025-04-08 18:48:00,Send money to Osaac
72,2025-04-08 18:51:27,Send money to Isaac
77,2025-04-08 19:04:52,Send 110 to Isaac
81,2025-04-08 19:07:16,Send 50 to Isaac
85,2025-04-08 19:09:01,Send 10 dollar to Peter
18,2025-04-08 12:23:21,I want to send money to Peter
25,2025-04-08 18:18:27,Send money to Peter
30,2025-04-08 18:20:20,Send money to Amy
34,2025-04-08 18:21:27,Test
37,2025-04-08 18:21:41,Get an Apple
41,2025-04-08 18:30:20,Send 200 to Amy
44,2025-04-08 18:31:38,Send 200 to Leo
47,2025-04-08 18:32:06,Send 200 to Isaac
50,2025-04-08 18:39:57,I want to give 500 money to Isaac
53,2025-04-08 18:41:09,I want to give 200 to Isaac
56,2025-04-08 18:41:33,I want to give 200 to Isaac
62,2025-04-08 18:45:39,I want to give 200 to Peter
65,2025-04-08 18:46:32,Send 150 to Peter
69,2025-04-08 18:48:00,Send money to Osaac
72,2025-04-08 18:51:27,Send money to Isaac
77,2025-04-08 19:04:52,Send 110 to Isaac
81,2025-04-08 19:07:16,Send 50 to Isaac
85,2025-04-08 19:09:01,Send 10 dollar to Peter
90,2025-04-08 19:10:26,Send 110 dollar to Peter
18,2025-04-08 12:23:21,I want to send money to Peter
25,2025-04-08 18:18:27,Send money to Peter
30,2025-04-08 18:20:20,Send money to Amy
34,2025-04-08 18:21:27,Test
37,2025-04-08 18:21:41,Get an Apple
41,2025-04-08 18:30:20,Send 200 to Amy
44,2025-04-08 18:31:38,Send 200 to Leo
47,2025-04-08 18:32:06,Send 200 to Isaac
50,2025-04-08 18:39:57,I want to give 500 money to Isaac
53,2025-04-08 18:41:09,I want to give 200 to Isaac
56,2025-04-08 18:41:33,I want to give 200 to Isaac
62,2025-04-08 18:45:39,I want to give 200 to Peter
65,2025-04-08 18:46:32,Send 150 to Peter
69,2025-04-08 18:48:00,Send money to Osaac
72,2025-04-08 18:51:27,Send money to Isaac
77,2025-04-08 19:04:52,Send 110 to Isaac
81,2025-04-08 19:07:16,Send 50 to Isaac
85,2025-04-08 19:09:01,Send 10 dollar to Peter
90,2025-04-08 19:10:26,Send 110 dollar to Peter
18,2025-04-08 12:23:21,I want to send money to Peter
25,2025-04-08 18:18:27,Send money to Peter
30,2025-04-08 18:20:20,Send money to Amy
34,2025-04-08 18:21:27,Test
37,2025-04-08 18:21:41,Get an Apple
41,2025-04-08 18:30:20,Send 200 to Amy
44,2025-04-08 18:31:38,Send 200 to Leo
47,2025-04-08 18:32:06,Send 200 to Isaac
50,2025-04-08 18:39:57,I want to give 500 money to Isaac
53,2025-04-08 18:41:09,I want to give 200 to Isaac
56,2025-04-08 18:41:33,I want to give 200 to Isaac
62,2025-04-08 18:45:39,I want to give 200 to Peter
65,2025-04-08 18:46:32,Send 150 to Peter
69,2025-04-08 18:48:00,Send money to Osaac
72,2025-04-08 18:51:27,Send money to Isaac
77,2025-04-08 19:04:52,Send 110 to Isaac
81,2025-04-08 19:07:16,Send 50 to Isaac
85,2025-04-08 19:09:01,Send 10 dollar to Peter
90,2025-04-08 19:10:26,Send 110 dollar to Peter
98,2025-04-08 19:19:32,Send 100 to Isaac
18,2025-04-08 12:23:21,I want to send money to Peter
25,2025-04-08 18:18:27,Send money to Peter
30,2025-04-08 18:20:20,Send money to Amy
34,2025-04-08 18:21:27,Test
37,2025-04-08 18:21:41,Get an Apple
41,2025-04-08 18:30:20,Send 200 to Amy
44,2025-04-08 18:31:38,Send 200 to Leo
47,2025-04-08 18:32:06,Send 200 to Isaac
50,2025-04-08 18:39:57,I want to give 500 money to Isaac
53,2025-04-08 18:41:09,I want to give 200 to Isaac
56,2025-04-08 18:41:33,I want to give 200 to Isaac
62,2025-04-08 18:45:39,I want to give 200 to Peter
65,2025-04-08 18:46:32,Send 150 to Peter
69,2025-04-08 18:48:00,Send money to Osaac
72,2025-04-08 18:51:27,Send money to Isaac
77,2025-04-08 19:04:52,Send 110 to Isaac
81,2025-04-08 19:07:16,Send 50 to Isaac
85,2025-04-08 19:09:01,Send 10 dollar to Peter
90,2025-04-08 19:10:26,Send 110 dollar to Peter
98,2025-04-08 19:19:32,Send 100 to Isaac
106,2025-04-08 19:35:36,Send 100 to Isaac
18,2025-04-08 12:23:21,I want to send money to Peter
25,2025-04-08 18:18:27,Send money to Peter
30,2025-04-08 18:20:20,Send money to Amy
34,2025-04-08 18:21:27,Test
37,2025-04-08 18:21:41,Get an Apple
41,2025-04-08 18:30:20,Send 200 to Amy
44,2025-04-08 18:31:38,Send 200 to Leo
47,2025-04-08 18:32:06,Send 200 to Isaac
50,2025-04-08 18:39:57,I want to give 500 money to Isaac
53,2025-04-08 18:41:09,I want to give 200 to Isaac
56,2025-04-08 18:41:33,I want to give 200 to Isaac
62,2025-04-08 18:45:39,I want to give 200 to Peter
65,2025-04-08 18:46:32,Send 150 to Peter
69,2025-04-08 18:48:00,Send money to Osaac
72,2025-04-08 18:51:27,Send money to Isaac
77,2025-04-08 19:04:52,Send 110 to Isaac
81,2025-04-08 19:07:16,Send 50 to Isaac
85,2025-04-08 19:09:01,Send 10 dollar to Peter
90,2025-04-08 19:10:26,Send 110 dollar to Peter
98,2025-04-08 19:19:32,Send 100 to Isaac
106,2025-04-08 19:35:36,Send 100 to Isaac
113,2025-04-08 19:40:17,Send 50 to chan
118,2025-04-08 19:50:44,Send 100 to Peter
18,2025-04-08 12:23:21,I want to send money to Peter
25,2025-04-08 18:18:27,Send money to Peter
30,2025-04-08 18:20:20,Send money to Amy
34,2025-04-08 18:21:27,Test
37,2025-04-08 18:21:41,Get an Apple
41,2025-04-08 18:30:20,Send 200 to Amy
44,2025-04-08 18:31:38,Send 200 to Leo
47,2025-04-08 18:32:06,Send 200 to Isaac
50,2025-04-08 18:39:57,I want to give 500 money to Isaac
53,2025-04-08 18:41:09,I want to give 200 to Isaac
56,2025-04-08 18:41:33,I want to give 200 to Isaac
62,2025-04-08 18:45:39,I want to give 200 to Peter
65,2025-04-08 18:46:32,Send 150 to Peter
69,2025-04-08 18:48:00,Send money to Osaac
72,2025-04-08 18:51:27,Send money to Isaac
77,2025-04-08 19:04:52,Send 110 to Isaac
81,2025-04-08 19:07:16,Send 50 to Isaac
85,2025-04-08 19:09:01,Send 10 dollar to Peter
90,2025-04-08 19:10:26,Send 110 dollar to Peter
