date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT,DIS
2000-01-03,27.1839196339,34.0973373448,49.1134804574,0.856801475964,25.8975808318,13.5569530229,18.8614702151,39.6145603852,15.5527847762,,68.3603247928,42.2189010981,33.1986640127,68.1257026013,26.6507017263,26.5684134328,24.7328970204,22.8390049212,28.8531292509,36.9409420165,4.58199608695,30.0734904825,,18.8505890854,5.59331130131,20.0395461515,,19.5976428522,45.0964801508,23.2380996535
2000-01-04,26.1038211106,32.8071678236,45.3601305845,0.784546643615,25.8589181085,13.3813231565,18.8614702151,37.379141159,15.605318627,,64.056356886,37.886266517,32.6130463727,65.811777875,25.4070023124,25.5943247312,24.1966272621,22.3664340397,27.8377448414,35.6922519724,4.33251915952,29.4843642697,,18.5992478976,5.52150879344,19.390952232,,18.870279357,43.4089902484,24.5990994658
2000-01-05,27.4345024913,32.639120533,46.7725138007,0.79602781401,27.669622317,13.8859105505,19.2696880925,37.6723108936,15.776744877,,61.6876263474,39.9910591013,32.2089702011,68.1257026013,25.9246998517,25.9920295857,24.0464224653,22.8390049212,29.1176411559,36.0693943969,4.58294828897,29.2318816071,,18.7820414887,5.50902140077,20.0395461515,,19.0418273512,42.396496307,25.4701393457
2000-01-06,29.0330483058,32.639120533,47.7010972412,0.727140791643,27.7469477636,14.3932857202,20.0162080783,36.6462168225,15.7601552399,,63.6693094124,38.8577092482,32.7945878411,66.951121522,24.1234800109,26.6750444445,24.3877970034,22.4067754564,29.1731033296,34.8619047857,4.55914323864,30.2698658868,,18.8163152871,5.71090091564,19.9375764889,,18.5271833687,42.9904927526,24.5990994658
2000-01-07,29.6091008515,33.0951561493,53.061910885,0.761584302827,28.5524211659,14.8616320306,20.368042271,38.8083436151,16.7970075583,,63.909278846,41.1244089543,34.5514407612,66.6574762522,25.1190522018,27.8105206233,24.8349976484,22.9830814095,31.9718099374,35.3182788119,4.55914323864,32.6824779964,,19.5646265508,6.38001703969,19.7895168491,,19.0006558326,46.2372233248,24.2102423766
2000-01-10,29.4650877151,33.5729077472,56.2846416491,0.748189604033,28.1529063584,14.3737712906,19.8199928555,40.2375460712,16.2606092922,,65.31813165,40.9236441232,34.7329822296,69.3002836807,26.2677893452,27.1073323299,24.4082794757,23.0868164811,31.0374856278,35.5749892017,4.6362716017,32.5141562213,,19.2104639679,6.26971173774,19.6852021029,,19.5564713336,45.3934783736,27.9043847244
2000-01-11,28.9466404239,33.8769314914,51.8446082236,0.709919036052,27.7082850403,14.1479614623,19.6350543696,39.028220916,16.8135971954,,65.6509924774,39.8680096886,34.4811666444,69.8875742203,27.4747291705,27.1073323299,23.8313565063,23.628544077,31.063083554,34.6622411492,4.86860889289,33.0471751757,,18.9933965785,6.28323974647,19.5001275532,,20.3318682672,44.7184824127,28.1921389705
2000-01-12,29.0330483058,33.7032036376,49.5972802331,0.667362164457,27.7469477636,14.3932857202,19.5651386005,38.0387730618,17.004378022,,65.31813165,39.5441954449,34.8091125228,70.1812194902,27.9526038221,26.9459448527,23.9815613031,24.6370794949,31.758493885,33.5339831397,4.7019735406,32.8227461423,,19.0276703768,6.22392463128,18.8439541498,,20.7573072927,43.9152372191,26.2011906735
2000-01-13,29.0330483058,33.8769314914,52.1333274446,0.740535490437,27.3087702327,14.549401157,19.747821739,38.9182822655,16.7444737075,,65.4110230437,40.2371579265,35.0667842844,69.4471063156,27.8944011402,26.9113618218,24.3434183135,24.3835048755,31.8907498375,34.167835954,4.76101006541,32.2616735587,,19.4218190577,6.41956044982,18.6958945101,,20.7161357741,43.9624869364,27.0722305534
2000-01-14,28.6038891592,34.6369908518,53.3038107729,0.768779169607,28.3526637621,14.4797067656,19.6215222852,39.4313293011,16.8827206833,,66.2857503341,40.1141085139,35.0667842844,70.2516943549,31.5826131952,27.0007013181,25.2207508764,24.5563966615,31.6262379324,35.5749892017,4.88574852913,32.8227461423,,19.4218190577,6.41227613742,18.948268896,,20.2014917917,43.537239481,26.1000878303
