date,1. open,2. high,3. low,4. close,5. volume
2025-03-11 20:00:00,414.74,414.74,414.74,414.74,47945.0
2025-03-11 19:45:00,415.3,415.65,415.3,415.65,299.0
2025-03-11 19:30:00,415.21,415.25,415.101,415.25,11.0
2025-03-11 19:15:00,415.46,415.48,415.315,415.405,50.0
2025-03-11 19:00:00,415.56,415.5888,415.491,415.491,156.0
2025-03-11 18:45:00,415.581,415.65,415.52,415.57,157.0
2025-03-11 18:30:00,414.74,415.5983,414.74,415.53,48358.0
2025-03-11 18:15:00,415.2499,415.2499,415.01,415.07,136.0
2025-03-11 18:00:00,415.0,415.29,414.72,415.29,2001.0
2025-03-11 17:45:00,414.78,415.1885,414.78,415.065,218.0
2025-03-11 17:30:00,414.36,415.19,414.36,414.775,315.0
2025-03-11 17:15:00,415.0621,416.0,414.8,414.81,206.0
2025-03-11 17:00:00,415.08,416.0,414.36,415.085,54615.0
2025-03-11 16:45:00,414.98,415.03,414.62,414.895,721.0
2025-03-11 16:30:00,414.95,415.01,414.725,415.0,1402.0
2025-03-11 16:15:00,415.45,415.45,414.865,414.9588,2341.0
2025-03-11 16:00:00,414.69,415.57,414.56,415.49,161312.0
2025-03-11 15:45:00,416.92,417.05,414.595,414.71,313548.0
2025-03-11 15:30:00,416.67,417.27,415.96,416.81,70309.0
2025-03-11 15:15:00,417.12,417.67,416.24,416.61,79236.0
2025-03-11 15:00:00,417.79,418.52,416.85,417.145,124476.0
2025-03-11 14:45:00,417.36,418.44,416.94,417.74,156426.0
2025-03-11 14:30:00,415.89,417.47,415.17,417.31,129659.0
2025-03-11 14:15:00,415.17,416.41,414.9,415.89,85091.0
2025-03-11 14:00:00,413.31,415.4601,413.22,415.45,143344.0
2025-03-11 13:45:00,413.12,414.0,412.7301,413.32,113392.0
2025-03-11 13:30:00,412.52,413.17,412.31,413.12,116878.0
2025-03-11 13:15:00,412.7,413.4,412.25,412.5,76687.0
2025-03-11 13:00:00,413.25,413.25,412.73,412.93,91703.0
2025-03-11 12:45:00,413.841,414.22,412.77,413.37,62863.0
2025-03-11 12:30:00,414.475,414.77,413.56,413.8,68007.0
2025-03-11 12:15:00,413.6438,414.58,413.6438,414.34,45969.0
2025-03-11 12:00:00,415.18,415.47,413.63,413.67,83418.0
2025-03-11 11:45:00,416.6453,416.6453,415.11,415.25,64785.0
2025-03-11 11:30:00,414.88,416.79,414.76,416.59,86073.0
2025-03-11 11:15:00,415.555,416.08,414.84,414.93,130710.0
2025-03-11 11:00:00,413.66,415.83,413.3,415.36,117998.0
2025-03-11 10:45:00,414.39,414.97,413.65,413.76,119011.0
2025-03-11 10:30:00,414.93,415.65,413.73,414.41,174969.0
2025-03-11 10:15:00,415.6,416.12,414.74,414.91,171404.0
2025-03-11 10:00:00,416.91,418.49,415.378,415.64,352396.0
2025-03-11 09:45:00,417.78,418.31,416.5606,416.98,149083.0
2025-03-11 09:30:00,418.47,419.03,416.8469,417.88,469900.0
2025-03-11 09:15:00,419.115,419.13,418.26,418.5,5526.0
2025-03-11 09:00:00,419.24,419.6,419.07,419.18,3704.0
2025-03-11 08:45:00,419.6,419.6,419.13,419.23,3078.0
2025-03-11 08:30:00,420.51,420.53,419.47,419.58,1901.0
2025-03-11 08:15:00,419.66,420.86,419.65,420.59,6222.0
2025-03-11 08:00:00,421.26,421.28,419.49,419.7578,124446.0
2025-03-11 07:45:00,421.15,421.26,420.95,421.26,849.0
2025-03-11 07:30:00,420.71,421.18,420.71,421.1,3685.0
2025-03-11 07:15:00,420.38,420.74,420.38,420.74,7170.0
2025-03-11 07:00:00,420.61,420.61,420.05,420.32,2886.0
2025-03-11 06:45:00,420.4,420.69,420.4,420.69,18.0
2025-03-11 06:30:00,420.76,420.76,420.54,420.54,5.0
2025-03-11 06:15:00,420.54,420.58,420.47,420.58,255.0
2025-03-11 06:00:00,420.66,420.74,420.17,420.48,1446.0
2025-03-11 05:45:00,420.6,420.7,420.52,420.62,463.0
2025-03-11 05:30:00,420.9,420.9,420.52,420.56,884.0
2025-03-11 05:15:00,420.7,420.93,420.6,420.93,451.0
2025-03-11 05:00:00,421.02,421.08,420.5,420.67,736.0
2025-03-11 04:45:00,420.91,420.95,420.84,420.95,93.0
2025-03-11 04:30:00,420.88,420.88,420.69,420.71,143.0
2025-03-11 04:15:00,420.72,420.73,420.42,420.73,528.0
2025-03-11 04:00:00,420.42,420.86,420.41,420.8,3171.0
2025-03-10 20:00:00,419.49,419.49,419.49,419.49,58803.0
2025-03-10 19:45:00,419.31,419.71,419.31,419.575,10862.0
2025-03-10 19:30:00,419.06,419.34,418.53,419.34,6451.0
2025-03-10 19:15:00,419.5,419.54,418.83,419.29,5133.0
2025-03-10 19:00:00,419.7,419.7999,419.39,419.4,7233.0
2025-03-10 18:45:00,419.94,419.97,419.49,419.661,1226.0
2025-03-10 18:30:00,419.49,420.17,419.49,419.911,62978.0
2025-03-10 18:15:00,419.415,419.83,419.2891,419.7865,6349.0
2025-03-10 18:00:00,419.66,419.9399,419.0,419.3904,6922.0
2025-03-10 17:45:00,419.7,420.0,419.134,419.6899,798.0
2025-03-10 17:30:00,419.685,420.0,419.65,419.99,192.0
2025-03-10 17:15:00,420.0,420.0,419.66,420.0,1120.0
2025-03-10 17:00:00,420.0,420.23,419.49,419.685,29160.0
2025-03-10 16:45:00,420.03,420.23,419.96,420.0,1842.0
2025-03-10 16:30:00,420.11,420.175,420.04,420.1,2616.0
2025-03-10 16:15:00,419.78,420.1983,419.68,420.16,5208.0
2025-03-10 16:00:00,419.63,422.3334,419.07,419.7515,199080.0
2025-03-10 15:45:00,419.2683,420.7,418.93,419.62,478545.0
2025-03-10 15:30:00,419.24,420.99,419.05,419.09,190334.0
2025-03-10 15:15:00,417.83,420.23,417.78,419.22,194609.0
2025-03-10 15:00:00,417.88,418.18,416.62,417.91,205327.0
2025-03-10 14:45:00,419.24,419.42,417.821,417.96,224673.0
2025-03-10 14:30:00,419.521,419.9,418.79,419.24,85455.0
2025-03-10 14:15:00,419.9,420.37,419.3,419.49,50218.0
2025-03-10 14:00:00,420.49,420.77,419.6942,419.88,129309.0
2025-03-10 13:45:00,420.74,421.17,420.2868,420.3,63168.0
2025-03-10 13:30:00,421.65,421.6583,420.53,420.7,84112.0
2025-03-10 13:15:00,422.1,422.32,421.58,421.68,52583.0
2025-03-10 13:00:00,422.88,423.0,421.73,422.0782,85098.0
2025-03-10 12:45:00,423.24,423.51,422.91,422.91,40317.0
2025-03-10 12:30:00,423.43,424.13,422.87,423.19,68631.0
2025-03-10 12:15:00,424.08,424.09,422.52,423.38,100360.0
2025-03-10 12:00:00,423.53,424.07,423.26,424.07,37911.0
2025-03-10 11:45:00,423.62,424.23,423.4,423.58,55295.0
2025-03-10 11:30:00,424.82,425.53,423.38,423.53,80644.0
2025-03-10 11:15:00,425.02,425.26,424.41,424.8447,82625.0
2025-03-10 11:00:00,424.82,425.45,424.65,425.23,78657.0
2025-03-10 10:45:00,424.26,424.83,423.77,424.495,70647.0
2025-03-10 10:30:00,424.97,425.14,423.86,424.305,66405.0
2025-03-10 10:15:00,425.02,425.65,424.5,425.03,199090.0
2025-03-10 10:00:00,425.4008,425.51,424.4,425.11,121870.0
2025-03-10 09:45:00,425.27,426.05,424.6,425.42,160400.0
2025-03-10 09:30:00,423.39,425.47,423.22,425.2887,210790.0
2025-03-10 09:15:00,423.87,423.9,423.32,423.33,6445.0
2025-03-10 09:00:00,423.8117,424.22,423.475,423.63,3685.0
2025-03-10 08:45:00,423.53,428.26,423.38,423.78,3008.0
2025-03-10 08:30:00,423.32,423.6,423.13,423.5999,4727.0
2025-03-10 08:15:00,423.6,423.7785,423.32,423.355,2399.0
2025-03-10 08:00:00,426.4967,428.2661,423.38,423.52,14393.0
2025-03-10 07:45:00,424.34,424.34,423.83,423.85,3107.0
2025-03-10 07:30:00,424.54,424.58,423.97,424.14,1043.0
2025-03-10 07:15:00,424.23,424.73,424.23,424.5,2722.0
2025-03-10 07:00:00,424.26,424.58,423.78,424.46,4653.0
2025-03-10 06:45:00,424.21,424.45,424.16,424.43,491.0
2025-03-10 06:30:00,424.62,424.62,424.16,424.23,1417.0
2025-03-10 06:15:00,424.7,424.74,424.47,424.61,559.0
2025-03-10 06:00:00,425.1,425.1,424.73,424.92,499.0
2025-03-10 05:45:00,425.41,425.43,424.5,424.75,906.0
2025-03-10 05:30:00,425.07,425.57,425.04,425.57,1444.0
2025-03-10 05:15:00,424.17,424.85,424.17,424.8,138.0
